Device ID,Date,Fault Start,Start Voltage,Fault,Relay,Fault Resolve,Resolve Voltage,Fault Duration,Status
TVS001,10-08-2026,02:35:54,60.1,LOW VOLTAGE,ON,02:36:25,191.7,0 min 31 sec,RESOLVED
TVS001,10-08-2026,02:36:28,169.0,LOW VOLTAGE,ON,02:36:56,186.7,0 min 28 sec,RESOLVED
TVS001,10-08-2026,02:37:51,164.1,LOW VOLTAGE,ON,02:39:56,195.5,2 min 5 sec,RESOLVED
TVS001,10-08-2026,02:40:10,255.0,HIGH VOLTAGE,ON,02:40:17,249.6,0 min 7 sec,RESOLVED
TVS001,10-08-2026,02:40:19,255.1,HIGH VOLTAGE,ON,02:40:29,249.2,0 min 10 sec,RESOLVED
TVS001,10-08-2026,02:40:37,174.9,LOW VOLTAGE,ON,02:40:46,182.2,0 min 9 sec,RESOLVED
TVS001,10-08-2026,02:40:53,147.1,LOW VOLTAGE,ON,02:41:57,191.1,1 min 4 sec,RESOLVED
TVS001,10-08-2026,02:42:21,252.5,HIGH VOLTAGE,ON,02:42:24,247.8,0 min 3 sec,RESOLVED
TVS001,11-08-2026,23:13:14,37.3,LOW VOLTAGE,ON,23:44:38,189.6,31 min 24 sec,RESOLVED
TVS001,11-08-2026,23:51:49,0.0,LOW VOLTAGE,ON,23:53:40,185.1,1 min 51 sec,RESOLVED
TVS001,11-08-2026,23:54:06,250.6,HIGH VOLTAGE,ON,23:54:12,248.8,0 min 6 sec,RESOLVED
TVS001,11-08-2026,23:54:17,250.3,HIGH VOLTAGE,ON,23:54:30,249.8,0 min 13 sec,RESOLVED
TVS001,11-08-2026,23:54:32,252.3,HIGH VOLTAGE,ON,23:58:07,249.7,3 min 35 sec,RESOLVED
TVS001,11-08-2026,23:58:14,251.1,HIGH VOLTAGE,ON,23:58:31,249.7,0 min 17 sec,RESOLVED
TVS001,11-08-2026,23:58:35,251.6,HIGH VOLTAGE,ON,23:58:40,249.8,0 min 5 sec,RESOLVED
TVS001,11-08-2026,23:58:50,252.0,HIGH VOLTAGE,ON,23:58:53,248.9,0 min 3 sec,RESOLVED
TVS001,11-08-2026,23:58:57,252.2,HIGH VOLTAGE,ON,23:59:56,249.9,0 min 59 sec,RESOLVED
TVS001,12-08-2026,00:00:01,251.9,HIGH VOLTAGE,ON,00:00:10,249.8,0 min 9 sec,RESOLVED
TVS001,12-08-2026,00:00:13,251.8,HIGH VOLTAGE,ON,00:01:09,250.0,0 min 56 sec,RESOLVED
TVS001,12-08-2026,00:01:12,251.6,HIGH VOLTAGE,ON,00:02:46,250.0,1 min 34 sec,RESOLVED
TVS001,12-08-2026,00:02:48,250.2,HIGH VOLTAGE,ON,00:02:50,249.6,0 min 2 sec,RESOLVED
TVS001,12-08-2026,00:02:52,250.2,HIGH VOLTAGE,ON,00:03:38,250.0,0 min 46 sec,RESOLVED
TVS001,12-08-2026,00:03:41,251.8,HIGH VOLTAGE,OFF,,,,ACTIVE
TVS001,13-08-2026,23:47:53,0.0,LOW VOLTAGE,OFF,,,,ACTIVE
